count,streams,variable,value
34,Trapecio,velocity,11
35,Trapecio,velocity,14
36,Trapecio,velocity,16
37,U,velocity,2
38,V,velocity,5
39,Trapecio,velocity,4
40,Trapecio,velocity,4
41,U,velocity,1
42,Trapecio,velocity,NA
43,V,velocity,NA
44,V,velocity,15
45,V,velocity,4
46,Trapecio,velocity,4
47,V,velocity,15
48,Trapecio,velocity,13
49,V,velocity,15
50,V,velocity,15
51,V,velocity,14
52,Trapecio,velocity,14
53,Trapecio,velocity,15
54,Trapecio,velocity,14
55,U,velocity,11
56,Trapecio,velocity,14
57,Trapecio,velocity,14
58,U,velocity,2
59,V,velocity,15
60,V,velocity,15
61,Trapecio,velocity,11
62,Trapecio,velocity,11
63,Trapecio,velocity,2
64,Trapecio,velocity,3
65,Trapecio,velocity,14
66,Trapecio,velocity,14
67,Trapecio,velocity,12
68,Trapecio,velocity,14
69,Trapecio,velocity,2
70,V,velocity,4
71,Trapecio,velocity,10
72,Trapecio,velocity,3
73,U,velocity,2
74,U,velocity,2
75,U,velocity,2
76,Trapecio,velocity,3
77,Trapecio,velocity,3
78,U,velocity,3
79,U,velocity,2
80,Trapecio,velocity,14
81,Trapecio,velocity,14
82,Trapecio,velocity,11
83,Trapecio,velocity,12
84,Trapecio,velocity,11
85,V,velocity,3
86,V,velocity,6
87,U,velocity,2
88,U,velocity,3
89,U,velocity,12
90,Trapecio,velocity,9
91,U,velocity,14
92,U,velocity,2
93,U,velocity,2
94,U,velocity,2
95,Trapecio,velocity,14
96,Trapecio,velocity,12
97,U,velocity,12
98,Trapecio,velocity,12
99,Trapecio,velocity,11
100,Trapecio,velocity,11
101,V,velocity,5
102,V,velocity,4
103,U,velocity,3
104,Trapecio,velocity,3
105,Trapecio,velocity,3
106,U,velocity,11
107,Trapecio,velocity,11
108,Trapecio,velocity,12
109,Trapecio,velocity,14
110,Trapecio,velocity,12
111,Trapecio,velocity,9
112,Trapecio,velocity,11
113,V,velocity,14
114,Trapecio,velocity,13
115,Trapecio,velocity,14
116,Trapecio,velocity,14
117,Trapecio,velocity,14
118,Trapecio,velocity,14
119,V,velocity,13
120,Trapecio,velocity,14
121,Trapecio,velocity,9
122,V,velocity,15
123,Trapecio,velocity,11
124,U,velocity,2
125,V,velocity,14
126,U,velocity,11
127,U,velocity,11
128,V,velocity,13
129,V,velocity,15
130,Trapecio,velocity,14
131,Trapecio,velocity,10
132,Trapecio,velocity,14
133,Trapecio,velocity,14
134,Trapecio,velocity,14
135,Trapecio,velocity,14
136,Trapecio,velocity,14
137,Trapecio,velocity,14
138,Trapecio,velocity,8
1,Trapecio,rocks,20
2,Trapecio,rocks,20
3,U,rocks,0
4,U,rocks,0
5,Trapecio,rocks,30
6,U,rocks,0
7,V,rocks,0
8,Trapecio,rocks,0
9,U,rocks,0
10,U,rocks,0
11,U,rocks,0
12,U,rocks,0
13,Trapecio,rocks,10
14,Trapecio,rocks,20
15,Trapecio,rocks,0
16,V,rocks,35
17,V,rocks,40
18,V,rocks,25
19,Trapecio,rocks,0
20,Trapecio,rocks,5
21,V,rocks,NA
22,Trapecio,rocks,0
23,Trapecio,rocks,0
24,U,rocks,0
25,V,rocks,20
26,Trapecio,rocks,30
27,Trapecio,rocks,20
28,Trapecio,rocks,20
29,U,rocks,0
30,U,rocks,0
31,U,rocks,0
32,V,rocks,35
33,V,rocks,30
34,Trapecio,rocks,0
35,Trapecio,rocks,0
36,Trapecio,rocks,0
37,U,rocks,0
38,V,rocks,40
39,Trapecio,rocks,40
40,Trapecio,rocks,0
41,U,rocks,0
42,Trapecio,rocks,NA
43,V,rocks,NA
44,V,rocks,25
45,V,rocks,30
46,Trapecio,rocks,0
47,V,rocks,35
48,Trapecio,rocks,0
49,V,rocks,20
50,V,rocks,25
51,V,rocks,15
52,Trapecio,rocks,25
53,Trapecio,rocks,10
54,Trapecio,rocks,5
55,U,rocks,0
56,Trapecio,rocks,25
57,Trapecio,rocks,15
58,U,rocks,0
59,V,rocks,45
60,V,rocks,55
61,Trapecio,rocks,60
62,Trapecio,rocks,0
63,Trapecio,rocks,0
64,Trapecio,rocks,90
65,Trapecio,rocks,15
66,Trapecio,rocks,10
67,Trapecio,rocks,10
68,Trapecio,rocks,10
69,Trapecio,rocks,0
70,V,rocks,30
71,Trapecio,rocks,35
72,Trapecio,rocks,90
73,U,rocks,0
74,U,rocks,0
75,U,rocks,0
76,Trapecio,rocks,33.3
77,Trapecio,rocks,0
78,U,rocks,0
79,U,rocks,0
80,Trapecio,rocks,50
81,Trapecio,rocks,20
82,Trapecio,rocks,0
83,Trapecio,rocks,20
84,Trapecio,rocks,10
85,V,rocks,10
86,V,rocks,25
87,U,rocks,0
88,U,rocks,0
89,U,rocks,0
90,Trapecio,rocks,20
91,U,rocks,0
92,U,rocks,0
93,U,rocks,0
94,U,rocks,0
95,Trapecio,rocks,50
96,Trapecio,rocks,10
97,U,rocks,0
98,Trapecio,rocks,10
99,Trapecio,rocks,0
100,Trapecio,rocks,0
101,V,rocks,40
102,V,rocks,40
103,U,rocks,0
104,Trapecio,rocks,0
105,Trapecio,rocks,0
106,U,rocks,0
107,Trapecio,rocks,0
108,Trapecio,rocks,0
109,Trapecio,rocks,5
110,Trapecio,rocks,0
111,Trapecio,rocks,5
112,Trapecio,rocks,0
113,V,rocks,50
114,Trapecio,rocks,10
115,Trapecio,rocks,30
116,Trapecio,rocks,50
117,Trapecio,rocks,30
118,Trapecio,rocks,30
119,V,rocks,30
120,Trapecio,rocks,10
121,Trapecio,rocks,25
122,V,rocks,50
123,Trapecio,rocks,0
124,U,rocks,0
125,V,rocks,15
126,U,rocks,0
127,U,rocks,0
128,V,rocks,40
129,V,rocks,30
130,Trapecio,rocks,10
131,Trapecio,rocks,75
132,Trapecio,rocks,40
133,Trapecio,rocks,50
134,Trapecio,rocks,30
135,Trapecio,rocks,30
136,Trapecio,rocks,20
137,Trapecio,rocks,30
138,Trapecio,rocks,40
1,Trapecio,canto,25
2,Trapecio,canto,45
3,U,canto,0
4,U,canto,0
5,Trapecio,canto,30
6,U,canto,0
7,V,canto,80
8,Trapecio,canto,0
9,U,canto,0
10,U,canto,0
11,U,canto,0
12,U,canto,0
13,Trapecio,canto,40
14,Trapecio,canto,60
15,Trapecio,canto,80
16,V,canto,20
17,V,canto,30
18,V,canto,30
19,Trapecio,canto,30
20,Trapecio,canto,25
21,V,canto,NA
22,Trapecio,canto,70
23,Trapecio,canto,70
24,U,canto,0
25,V,canto,40
26,Trapecio,canto,30
27,Trapecio,canto,30
28,Trapecio,canto,30
29,U,canto,65
30,U,canto,0
31,U,canto,0
32,V,canto,40
33,V,canto,30
34,Trapecio,canto,15
35,Trapecio,canto,5
36,Trapecio,canto,1
37,U,canto,NA
38,V,canto,50
39,Trapecio,canto,50
40,Trapecio,canto,70
41,U,canto,0
42,Trapecio,canto,NA
43,V,canto,NA
44,V,canto,25
45,V,canto,40
46,Trapecio,canto,80
47,V,canto,40
48,Trapecio,canto,40
49,V,canto,30
50,V,canto,30
51,V,canto,20
52,Trapecio,canto,25
53,Trapecio,canto,60
54,Trapecio,canto,25
55,U,canto,0
56,Trapecio,canto,40
57,Trapecio,canto,15
58,U,canto,0
59,V,canto,25
60,V,canto,30
61,Trapecio,canto,0
62,Trapecio,canto,50
63,Trapecio,canto,33.3
64,Trapecio,canto,10
65,Trapecio,canto,20
66,Trapecio,canto,70
67,Trapecio,canto,20
68,Trapecio,canto,20
69,Trapecio,canto,30
70,V,canto,60
71,Trapecio,canto,50
72,Trapecio,canto,0
73,U,canto,0
74,U,canto,0
75,U,canto,0
76,Trapecio,canto,33.3
77,Trapecio,canto,0
78,U,canto,0
79,U,canto,0
80,Trapecio,canto,20
81,Trapecio,canto,40
82,Trapecio,canto,10
83,Trapecio,canto,40
84,Trapecio,canto,60
85,V,canto,40
86,V,canto,25
87,U,canto,0
88,U,canto,0
89,U,canto,0
90,Trapecio,canto,35
91,U,canto,15
92,U,canto,0
93,U,canto,0
94,U,canto,0
95,Trapecio,canto,30
96,Trapecio,canto,60
97,U,canto,0
98,Trapecio,canto,5
99,Trapecio,canto,70
100,Trapecio,canto,10
101,V,canto,40
102,V,canto,40
103,U,canto,0
104,Trapecio,canto,0
105,Trapecio,canto,0
106,U,canto,0
107,Trapecio,canto,20
108,Trapecio,canto,0
109,Trapecio,canto,50
110,Trapecio,canto,10
111,Trapecio,canto,60
112,Trapecio,canto,10
113,V,canto,20
114,Trapecio,canto,70
115,Trapecio,canto,30
116,Trapecio,canto,30
117,Trapecio,canto,40
118,Trapecio,canto,40
119,V,canto,40
120,Trapecio,canto,70
121,Trapecio,canto,30
122,V,canto,30
123,Trapecio,canto,0
124,U,canto,0
125,V,canto,30
126,U,canto,0
127,U,canto,5
128,V,canto,30
129,V,canto,25
130,Trapecio,canto,40
131,Trapecio,canto,15
132,Trapecio,canto,20
133,Trapecio,canto,10
134,Trapecio,canto,25
135,Trapecio,canto,20
136,Trapecio,canto,60
137,Trapecio,canto,25
138,Trapecio,canto,30
1,Trapecio,grava,30
2,Trapecio,grava,20
3,U,grava,15
4,U,grava,10
5,Trapecio,grava,20
6,U,grava,20
7,V,grava,10
8,Trapecio,grava,0
9,U,grava,0
10,U,grava,0
11,U,grava,0
12,U,grava,0
13,Trapecio,grava,10
14,Trapecio,grava,20
15,Trapecio,grava,20
16,V,grava,0
17,V,grava,20
18,V,grava,25
19,Trapecio,grava,20
20,Trapecio,grava,35
21,V,grava,NA
22,Trapecio,grava,5
23,Trapecio,grava,20
24,U,grava,0
25,V,grava,20
26,Trapecio,grava,20
27,Trapecio,grava,20
28,Trapecio,grava,20
29,U,grava,20
30,U,grava,0
31,U,grava,0
32,V,grava,10
33,V,grava,20
34,Trapecio,grava,30
35,Trapecio,grava,20
36,Trapecio,grava,40
37,U,grava,80
38,V,grava,5
39,Trapecio,grava,5
40,Trapecio,grava,15
41,U,grava,60
42,Trapecio,grava,NA
43,V,grava,NA
44,V,grava,35
45,V,grava,10
46,Trapecio,grava,10
47,V,grava,15
48,Trapecio,grava,30
49,V,grava,35
50,V,grava,30
51,V,grava,15
52,Trapecio,grava,15
53,Trapecio,grava,10
54,Trapecio,grava,30
55,U,grava,0
56,Trapecio,grava,0
57,Trapecio,grava,5
58,U,grava,0
59,V,grava,10
60,V,grava,5
61,Trapecio,grava,20
62,Trapecio,grava,50
63,Trapecio,grava,33.3
64,Trapecio,grava,0
65,Trapecio,grava,40
66,Trapecio,grava,10
67,Trapecio,grava,50
68,Trapecio,grava,50
69,Trapecio,grava,0
70,V,grava,0
71,Trapecio,grava,0
72,Trapecio,grava,0
73,U,grava,0
74,U,grava,0
75,U,grava,0
76,Trapecio,grava,0
77,Trapecio,grava,50
78,U,grava,0
79,U,grava,0
80,Trapecio,grava,10
81,Trapecio,grava,20
82,Trapecio,grava,30
83,Trapecio,grava,20
84,Trapecio,grava,20
85,V,grava,25
86,V,grava,20
87,U,grava,0
88,U,grava,10
89,U,grava,0
90,Trapecio,grava,25
91,U,grava,5
92,U,grava,0
93,U,grava,0
94,U,grava,0
95,Trapecio,grava,10
96,Trapecio,grava,20
97,U,grava,0
98,Trapecio,grava,5
99,Trapecio,grava,20
100,Trapecio,grava,40
101,V,grava,10
102,V,grava,10
103,U,grava,0
104,Trapecio,grava,0
105,Trapecio,grava,10
106,U,grava,50
107,Trapecio,grava,60
108,Trapecio,grava,80
109,Trapecio,grava,20
110,Trapecio,grava,70
111,Trapecio,grava,20
112,Trapecio,grava,60
113,V,grava,20
114,Trapecio,grava,20
115,Trapecio,grava,30
116,Trapecio,grava,10
117,Trapecio,grava,20
118,Trapecio,grava,20
119,V,grava,20
120,Trapecio,grava,10
121,Trapecio,grava,25
122,V,grava,10
123,Trapecio,grava,40
124,U,grava,0
125,V,grava,30
126,U,grava,0
127,U,grava,35
128,V,grava,20
129,V,grava,10
130,Trapecio,grava,30
131,Trapecio,grava,0
132,Trapecio,grava,20
133,Trapecio,grava,20
134,Trapecio,grava,25
135,Trapecio,grava,20
136,Trapecio,grava,10
137,Trapecio,grava,25
138,Trapecio,grava,20
1,Trapecio,sand,20
2,Trapecio,sand,15
3,U,sand,85
4,U,sand,90
5,Trapecio,sand,10
6,U,sand,80
7,V,sand,10
8,Trapecio,sand,50
9,U,sand,50
10,U,sand,50
11,U,sand,50
12,U,sand,50
13,Trapecio,sand,20
14,Trapecio,sand,0
15,Trapecio,sand,20
16,V,sand,35
17,V,sand,10
18,V,sand,15
19,Trapecio,sand,25
20,Trapecio,sand,20
21,V,sand,NA
22,Trapecio,sand,20
23,Trapecio,sand,10
24,U,sand,0
25,V,sand,10
26,Trapecio,sand,20
27,Trapecio,sand,10
28,Trapecio,sand,10
29,U,sand,10
30,U,sand,50
31,U,sand,0
32,V,sand,10
33,V,sand,15
34,Trapecio,sand,25
35,Trapecio,sand,40
36,Trapecio,sand,40
37,U,sand,10
38,V,sand,5
39,Trapecio,sand,5
40,Trapecio,sand,15
41,U,sand,20
42,Trapecio,sand,NA
43,V,sand,NA
44,V,sand,10
45,V,sand,10
46,Trapecio,sand,10
47,V,sand,10
48,Trapecio,sand,20
49,V,sand,15
50,V,sand,15
51,V,sand,25
52,Trapecio,sand,25
53,Trapecio,sand,10
54,Trapecio,sand,25
55,U,sand,40
56,Trapecio,sand,10
57,Trapecio,sand,30
58,U,sand,20
59,V,sand,15
60,V,sand,5
61,Trapecio,sand,20
62,Trapecio,sand,0
63,Trapecio,sand,33.3
64,Trapecio,sand,0
65,Trapecio,sand,10
66,Trapecio,sand,0
67,Trapecio,sand,10
68,Trapecio,sand,10
69,Trapecio,sand,70
70,V,sand,10
71,Trapecio,sand,15
72,Trapecio,sand,10
73,U,sand,50
74,U,sand,0
75,U,sand,0
76,Trapecio,sand,0
77,Trapecio,sand,50
78,U,sand,0
79,U,sand,0
80,Trapecio,sand,10
81,Trapecio,sand,10
82,Trapecio,sand,50
83,Trapecio,sand,10
84,Trapecio,sand,5
85,V,sand,25
86,V,sand,20
87,U,sand,0
88,U,sand,0
89,U,sand,0
90,Trapecio,sand,15
91,U,sand,15
92,U,sand,0
93,U,sand,15
94,U,sand,5
95,Trapecio,sand,5
96,Trapecio,sand,5
97,U,sand,50
98,Trapecio,sand,30
99,Trapecio,sand,5
100,Trapecio,sand,40
101,V,sand,10
102,V,sand,10
103,U,sand,100
104,Trapecio,sand,50
105,Trapecio,sand,20
106,U,sand,50
107,Trapecio,sand,10
108,Trapecio,sand,20
109,Trapecio,sand,15
110,Trapecio,sand,10
111,Trapecio,sand,10
112,Trapecio,sand,20
113,V,sand,10
114,Trapecio,sand,0
115,Trapecio,sand,10
116,Trapecio,sand,10
117,Trapecio,sand,10
118,Trapecio,sand,5
119,V,sand,10
120,Trapecio,sand,10
121,Trapecio,sand,15
122,V,sand,5
123,Trapecio,sand,40
124,U,sand,50
125,V,sand,20
126,U,sand,50
127,U,sand,30
128,V,sand,8
129,V,sand,30
130,Trapecio,sand,15
131,Trapecio,sand,10
132,Trapecio,sand,20
133,Trapecio,sand,20
134,Trapecio,sand,0
135,Trapecio,sand,20
136,Trapecio,sand,10
137,Trapecio,sand,0
138,Trapecio,sand,10
1,Trapecio,silt,0
2,Trapecio,silt,0
3,U,silt,0
4,U,silt,0
5,Trapecio,silt,0
6,U,silt,0
7,V,silt,0
8,Trapecio,silt,50
9,U,silt,50
10,U,silt,50
11,U,silt,50
12,U,silt,50
13,Trapecio,silt,20
14,Trapecio,silt,0
15,Trapecio,silt,0
16,V,silt,10
17,V,silt,0
18,V,silt,5
19,Trapecio,silt,25
20,Trapecio,silt,15
21,V,silt,NA
22,Trapecio,silt,5
23,Trapecio,silt,0
24,U,silt,100
25,V,silt,10
26,Trapecio,silt,0
27,Trapecio,silt,20
28,Trapecio,silt,20
29,U,silt,5
30,U,silt,50
31,U,silt,100
32,V,silt,5
33,V,silt,5
34,Trapecio,silt,15
35,Trapecio,silt,35
36,Trapecio,silt,19
37,U,silt,10
38,V,silt,0
39,Trapecio,silt,0
40,Trapecio,silt,0
41,U,silt,20
42,Trapecio,silt,NA
43,V,silt,NA
44,V,silt,5
45,V,silt,10
46,Trapecio,silt,0
47,V,silt,0
48,Trapecio,silt,10
49,V,silt,0
50,V,silt,0
51,V,silt,25
52,Trapecio,silt,10
53,Trapecio,silt,10
54,Trapecio,silt,15
55,U,silt,60
56,Trapecio,silt,25
57,Trapecio,silt,35
58,U,silt,80
59,V,silt,5
60,V,silt,5
61,Trapecio,silt,0
62,Trapecio,silt,0
63,Trapecio,silt,0
64,Trapecio,silt,0
65,Trapecio,silt,15
66,Trapecio,silt,10
67,Trapecio,silt,10
68,Trapecio,silt,10
69,Trapecio,silt,0
70,V,silt,0
71,Trapecio,silt,0
72,Trapecio,silt,0
73,U,silt,50
74,U,silt,100
75,U,silt,100
76,Trapecio,silt,33.3
77,Trapecio,silt,0
78,U,silt,100
79,U,silt,100
80,Trapecio,silt,10
81,Trapecio,silt,10
82,Trapecio,silt,10
83,Trapecio,silt,10
84,Trapecio,silt,5
85,V,silt,0
86,V,silt,10
87,U,silt,100
88,U,silt,90
89,U,silt,100
90,Trapecio,silt,5
91,U,silt,65
92,U,silt,100
93,U,silt,85
94,U,silt,95
95,Trapecio,silt,5
96,Trapecio,silt,5
97,U,silt,50
98,Trapecio,silt,50
99,Trapecio,silt,5
100,Trapecio,silt,10
101,V,silt,0
102,V,silt,0
103,U,silt,0
104,Trapecio,silt,50
105,Trapecio,silt,70
106,U,silt,0
107,Trapecio,silt,10
108,Trapecio,silt,0
109,Trapecio,silt,10
110,Trapecio,silt,10
111,Trapecio,silt,5
112,Trapecio,silt,10
113,V,silt,0
114,Trapecio,silt,0
115,Trapecio,silt,0
116,Trapecio,silt,0
117,Trapecio,silt,0
118,Trapecio,silt,5
119,V,silt,0
120,Trapecio,silt,0
121,Trapecio,silt,5
122,V,silt,5
123,Trapecio,silt,20
124,U,silt,50
125,V,silt,5
126,U,silt,50
127,U,silt,30
128,V,silt,2
129,V,silt,5
130,Trapecio,silt,5
131,Trapecio,silt,0
132,Trapecio,silt,0
133,Trapecio,silt,0
134,Trapecio,silt,20
135,Trapecio,silt,10
136,Trapecio,silt,0
137,Trapecio,silt,20
138,Trapecio,silt,0
